Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
0,-1.12146837087854,-2.60142916179239,-0.558202793679478,0.926863488146372,-2.80725010049789
0.001,-1.07556235207579,-2.50983039212696,-0.526422741662635,0.899010724494241,-2.78012227130456
0.002,-1.03014805908666,-2.41951399940867,-0.495143895137432,0.870680766698527,-2.75326764240674
0.003,-0.985542147254898,-2.33112176039658,-0.464622396145673,0.84193839674242,-2.72688274059225
0.004,-0.9420483148401,-2.24527850170572,-0.435100988353121,0.812845333981202,-2.7011533077141
0.005,-0.899951499376506,-2.16258173537293,-0.406802977892707,0.783459679080085,-2.67625004739914
0.006,-0.859513179056872,-2.08359188544191,-0.379927064694642,0.753835516027882,-2.65232544751201
0.007,-0.820967696855735,-2.00882334163644,-0.354643190312191,0.724022689950361,-2.6295115877727
0.008,-0.78451952838379,-1.9387365454234,-0.331089504893316,0.694066777685279,-2.60791882749311
0.009,-0.750341424536245,-1.87373128402915,-0.309370500157324,0.664009258360185,-2.58763526829232
0.01,-0.718573367688226,-1.81414133055654,-0.289556293543067,0.633887876448757,-2.56872689614414
0.011,-0.689322279148892,-1.76023052457467,-0.271682990792328,0.603737172382488,-2.55123831844741
0.012,-0.662662406427826,-1.71219034471627,-0.255754007608663,0.573589136114457,-2.53519402176556
0.013,-0.638636305366601,-1.67013898520573,-0.241742199181513,0.543473920536029,-2.52060008321298
0.014,-0.617256318716865,-1.63412190978561,-0.229592631866353,0.513420542732117,-2.50744627072682
0.015,-0.598506442015499,-1.60411382088358,-0.219225835324097,0.483457506321481,-2.49570846254645
0.016,-0.582344461914275,-1.58002195048907,-0.210541390101591,0.453613293278822,-2.48535130463379
0.017,-0.568704256407371,-1.56169054555552,-0.203421721936628,0.423916691440134,-2.47633101080337
0.018,-0.557498164280394,-1.5489063785774,-0.197735981089974,0.394396939897887,-2.46859819973376
0.019,-0.548619359194598,-1.54140507043361,-0.193343888965763,0.365083688462582,-2.46210065778603
0.02,-0.54194419350792,-1.53887798459484,-0.190099449691621,0.336006782627288,-2.45678591572967
0.021,-0.53733449984312,-1.54097945014318,-0.187854455966562,0.307195904241631,-2.45260353406601
0.022,-0.534639851011848,-1.54733409158896,-0.186461755698741,0.27868011729122,-2.44950701104359
0.023,-0.533699784333765,-1.55754407539899,-0.185778273152333,0.250487382048923,-2.4474552578829
0.024,-0.534346000673902,-1.57119612239763,-0.185667786195826,0.222644105211932,-2.44641361857322
0.025,-0.536404555466186,-1.58786818087989,-0.186003449696914,0.195174786183443,-2.44635444072678
0.026,-0.539698067790584,-1.60713569682579,-0.186670030693653,0.168101800175983,-2.44725722731229
0.027,-0.544047976815136,-1.62857744155788,-0.187565794715255,0.141445330429969,-2.4491084163224
0.028,-0.549276862036506,-1.65178086530326,-0.188603968510684,0.115223431706456,-2.4519008497771
0.029,-0.555210813059678,-1.67634695160334,-0.189713712127324,0.0894521857682498,-2.45563300791463
0.03,-0.561681797970697,-1.70189456054474,-0.1908405580377,0.0641459051070633,-2.46030809422585
0.031,-0.568529950158024,-1.72806426331405,-0.191946301752796,0.0393173516695961,-2.46593305265057
0.032,-0.575605676563765,-1.7545216764818,-0.193008349493235,0.0149779506941749,-2.47251757424277
0.033,-0.582771486673275,-1.78096029792965,-0.194018549969521,-0.00886201462000401,-2.4800731116995
0.034,-0.589903454931631,-1.80710383313716,-0.19498156562717,-0.0321932435009731,-2.48861188394869
0.035,-0.596892262714824,-1.83270798862373,-0.195912870924426,-0.0550073086096997,-2.49814583937739
0.036,-0.603643812015316,-1.85756170356218,-0.196836492523371,-0.0772966032983118,-2.50868555884584
0.037,-0.610079442034752,-1.88148779411359,-0.197782620818625,-0.0990543322459648,-2.52023910298711
0.038,-0.616135795473229,-1.90434299864293,-0.198785220998756,-0.120274513866815,-2.53281082385638
0.039,-0.621764378130854,-1.92601743114458,-0.199879757052535,-0.140951952616319,-2.54640016203559
0.04,-0.626930853379128,-1.94643346808834,-0.201101117515427,-0.161082140918459,-2.56100044446455
0.041,-0.631614122926063,-1.96554410794012,-0.202481800421237,-0.180661061895899,-2.576597698981
0.042,-0.635805258270427,-1.98333085628763,-0.204050382138,-0.199684881126846,-2.59316951606147
