Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
0,-0.51275801320515,4.43438453228657,-2.15503148004747,-22.083063560631,-4.63587581657408
0.001,-0.602286362348108,4.41813571462518,-2.13449172369783,-22.0945087555196,-4.64175945331762
0.002,-0.69076936626276,4.40283266006379,-2.11519219579804,-22.1056727809545,-4.64726510771258
0.003,-0.777638577676637,4.3887113255359,-2.09745807143919,-22.1164621462538,-4.6522863388465
0.004,-0.862331201367095,4.37599682569667,-2.08159632097385,-22.1267832149998,-4.65672627395613
0.005,-0.94429663153433,4.36489780052197,-2.06788714125722,-22.1365430994566,-4.66050112551912
0.006,-1.02300317622174,4.35560141656227,-2.05657676974317,-22.1456505375131,-4.66354287072733
0.007,-1.09794475914073,4.34826907367629,-2.04787174902698,-22.1540167449583,-4.66580117556436
0.008,-1.16864741643332,4.34303286200565,-2.04193467070916,-22.1615562496125,-4.66724464893538
0.009,-1.23467543261987,4.33999279080381,-2.03888138128675,-22.168187724712,-4.66786150049492
0.01,-1.29563698295334,4.33921478892649,-2.03877959113768,-22.1738348417123,-4.66765964675861
0.011,-1.35118916966798,4.34072945868611,-2.04164879747982,-22.1784271563189,-4.66666628285709
0.012,-1.40104236277169,4.34453155535807,-2.04746141190089,-22.1819010301586,-4.66492693224175
0.013,-1.44496378440392,4.35058016452424,-2.05614497020314,-22.1842005778898,-4.66250400326217
0.014,-1.48278030419765,4.35879955305219,-2.0675852954672,-22.1852786172266,-4.65947490396151
0.015,-1.51438043286286,4.36908066919542,-2.08163048007537,-22.1850975902046,-4.65592978523771
0.016,-1.53971550798176,4.38128325959545,-2.09809554316723,-22.1836304219286,-4.65196899941953
0.017,-1.55880006309065,4.39523855885081,-2.1167676050609,-22.180861288506,-4.6477003765792
0.018,-1.57171136455984,4.41075249467828,-2.13741140491321,-22.176786275641,-4.64323642831884
0.019,-1.57858809515993,4.42760933845395,-2.15977498127944,-22.1714139189948,-4.63869158301883
0.02,-1.57962816416854,4.44557571676799,-2.18359534236125,-22.1647656232561,-4.63417953897945
0.021,-1.57508563842743,4.46440488731505,-2.20860397113909,-22.1568759579672,-4.62981079854934
0.022,-1.56526682039006,4.4838411742336,-2.23453203475473,-22.1477928258751,-4.62569042247604
0.023,-1.55052554400592,4.50362445380279,-2.26111519348862,-22.1375774943432,-4.62191602045682
0.024,-1.5312578050534,4.52349458089331,-2.28809792895971,-22.1263044721453,-4.61857597092031
0.025,-1.50789587343687,4.54319564929872,-2.31523733021824,-22.1140612059529,-4.61574784542035
0.026,-1.48090204299081,4.56247998477008,-2.34230629060541,-22.1009475687757,-4.61349701027365
0.027,-1.45076216460813,4.58111178103527,-2.36909608262763,-22.0870751204211,-4.61187539244113
0.028,-1.41797909043575,4.59887030969783,-2.39541829564589,-22.0725661367702,-4.61092041725162
0.029,-1.38306613567056,4.61555266233364,-2.42110613910615,-22.0575524238784,-4.61065414037303
0.03,-1.34654064415793,4.63097601150332,-2.44601512904929,-22.0421739454939,-4.61108260354713
0.031,-1.30891772972699,4.64497940446381,-2.47002318873874,-22.026577293543,-4.61219544507659
0.032,-1.27070425767003,4.65742512809691,-2.49303020752675,-22.0109140234994,-4.61396578813643
0.033,-1.23239312472669,4.66819970073449,-2.51495711516944,-21.9953388676537,-4.61635040869381
0.034,-1.19445788698262,4.677214550301,-2.53574454033743,-21.98000783447,-4.61929015765511
0.035,-1.15734777377097,4.68440642773352,-2.5553511299265,-21.9650762034368,-4.62271059369159
0.036,-1.12148311578603,4.68973758309605,-2.57375160607633,-21.9506964332825,-4.62652278128808
0.037,-1.08725121091167,4.69319570481264,-2.59093462979524,-21.9370160164351,-4.6306242190696
0.038,-1.05500265101663,4.69479359859149,-2.6069005300079,-21.9241753280923,-4.63489987921262
0.039,-1.02504813211659,4.69456857004558,-2.62165895125794,-21.9123055264527,-4.6392233535166
0.04,-0.997655768367769,4.69258147723137,-2.63522647189105,-21.9015265597731,-4.64345810981675
0.041,-0.973048935336229,4.68891543453042,-2.64762424438625,-21.8919453300529,-4.64745886005782
0.042,-0.951404684603007,4.68367417146675,-2.65887571230203,-21.8836540561487,-4.65107303028391
0.043,-0.93285279117477,4.67698007161603,-2.66900446630778,-21.8767288719223,-4.65414231147999
0.044,-0.917475502793,4.66897193324262,-2.67803230838621,-21.8712286870778,-4.65650426774479
0.045,-0.905308049062884,4.65980250492615,-2.68597758740288,-21.8671943299972,-4.65799398687243
0.046,-0.896339940347452,4.64963585748005,-2.692853849521,-21.8646479849645,-4.65844577358058
0.047,-0.890517046546384,4.63864465713938,-2.69866882263003,-21.8635929318861,-4.65769490108884
0.048,-0.88774440032945,4.62700740245803,-2.70342373211731,-21.8640135943525,-4.65557944597234
0.049,-0.887889627108834,4.61490567892095,-2.70711292655851,-21.865875900695,-4.65194222799597
0.05,-0.890786875862629,4.60252147580807,-2.70972377724065,-21.8691279617702,-4.64663286018434
0.051,-0.896241118854976,4.59003460527572,-2.71123680932764,-21.8737010668559,-4.63950989392371
0.052,-0.904032703889884,4.57762026388912,-2.71162602863913,-21.8795109923693,-4.63044303276973
0.053,-0.913922069826159,4.56544677573772,-2.71085942432733,-21.8864596047275,-4.61931539045001
0.054,-0.925654560400638,4.55367354748476,-2.70889964567455,-21.8944367202033,-4.60602577372048
0.055,-0.938965283211906,4.54244924767259,-2.70570486143393,-21.903322167425,-4.59049096874473
0.056,-0.95358395967514,4.53191020160906,-2.70122980814006,-21.9129879882069,-4.57264799803929
