Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
41.025,-2.7539980511335,-4.54528201306703,-19.3759248785287,21.6552916812232,-4.17470491871833
41.026,-2.79087406285115,-4.539849016202,-19.264978032643,21.6469629014142,-4.19892826352116
41.027,-2.8283784917061,-4.53539877838348,-19.1545941721869,21.6367674654886,-4.22358219534382
41.028,-2.866485168706,-4.5318231912482,-19.0449748575199,21.624626709249,-4.24845346011418
41.029,-2.9051626483919,-4.52900259380424,-18.9363195390388,21.6104856301448,-4.27333968470876
41.03,-2.94437517508106,-4.52680813255459,-18.8288234315348,21.5943137859196,-4.29805170411322
41.031,-2.9840836717473,-4.52510411828315,-18.7226755395972,21.5761057917696,-4.32241540939857
41.032,-3.02424668542159,-4.52375031261484,-18.6180568945364,21.5558814659679,-4.34627312806251
41.033,-3.06482123070206,-4.52260410940675,-18.5151390465393,21.5336856721712,-4.36948458855041
41.034,-3.10576350000524,-4.52152260703955,-18.414082825389,21.5095878942413,-4.39192755716817
41.035,-3.14702943937878,-4.52036458760784,-18.3150373445545,21.4836815638395,-4.41349825354657
41.036,-3.18857520716275,-4.51899242098934,-18.2181391831369,21.4560831499347,-4.43411164213357
41.037,-3.23035753447133,-4.51727389994545,-18.1235116445476,21.4269310127565,-4.453701668824
41.038,-3.27233399682857,-4.51508399612923,-18.0312639722733,21.3963840173786,-4.47222147898007
41.039,-3.31446319623246,-4.51230651227629,-17.9414904145248,21.3646198917504,-4.48964362745372
41.04,-3.35670484923698,-4.50883559440175,-17.854269071142,21.3318333032004,-4.50596027534884
41.041,-3.39901977968169,-4.50457705908636,-17.7696605163815,21.2982336214241,-4.52118335769799
41.042,-3.44136982339759,-4.49944948673839,-17.6877062557539,21.2640423405885,-4.53534469540285
41.043,-3.48371766400902,-4.49338503537529,-17.608427128323,21.2294901511234,-4.54849601219171
41.044,-3.52602662930496,-4.48632993914998,-17.5318217950804,21.194813680325,-4.56070880673362
41.045,-3.56826048637091,-4.47824466610119,-17.4578654566527,21.1602519541046,-4.57207402553786
41.046,-3.61038328411321,-4.46910372030401,-17.386508926385,21.1260426645219,-4.58270148284731
41.047,-3.65235930039063,-4.45889508931761,-17.3176781579495,21.0924183569117,-4.59271897641536
41.048,-3.69415314801056,-4.44761935977067,-17.2512742998888,21.0596026759836,-4.60227105530952
41.049,-3.73573007628752,-4.43528854834478,-17.1871743283935,21.0278068280258,-4.61151741416126
41.05,-3.77705647852253,-4.42192471834166,-17.1252322916008,20.9972264182378,-4.62063091820399
41.051,-3.81810058704771,-4.4075584720446,-17.065281176689,20.9680388031066,-4.62979529624326
41.052,-3.85883331105354,-4.39222742437975,-17.0071353815416,20.9404010598876,-4.63920256368755
41.053,-3.89922915264902,-4.37597476817172,-16.9505937387345,20.9144486268453,-4.64905025070437
41.054,-3.93926712444631,-4.35884803006222,-16.8954430061092,20.8902946184458,-4.65953851526011
41.055,-3.97893158413584,-4.34089809079603,-16.8414617087559,20.8680297773504,-4.6708672242697
41.056,-4.01821289659291,-4.32217851193884,-16.7884241936016,20.8477229963541,-4.68323309169571
41.057,-4.05710783577178,-4.30274517907156,-16.736104741342,20.829422329694,-4.69682696610349
41.058,-4.09561965100084,-4.28265623850804,-16.6842815737459,20.8131564075717,-4.71183135183128
41.059,-4.13375774472761,-4.26197226737473,-16.6327406012928,20.7989361630051,-4.7284182199267
41.06,-4.17153693903213,-4.24075657808362,-16.5812787797429,20.7867567771318,-4.74674712278969
41.061,-4.20897634687947,-4.21907552899135,-16.5297069847739,20.7765997514373,-4.76696358594897
41.062,-4.24609791118115,-4.1969987063856,-16.4778523671003,20.7684350224349,-4.78919772202269
41.063,-4.28292472296744,-4.17459886459859,-16.4255602072045,20.7622230460679,-4.81356299703771
41.064,-4.31947926426496,-4.15195155401503,-16.3726953365691,20.7579167992386,-4.84015508081951
41.065,-4.35578172834904,-4.12913441492494,-16.3191432223669,20.755463675729,-4.86905073321955
41.066,-4.39184854982737,-4.10622615636126,-16.2648108231832,20.7548072868429,-4.90030670790664
41.067,-4.42769124167081,-4.08330527215338,-16.2096273143618,20.75588920065,-4.93395868426596
41.068,-4.46331559922276,-4.0604485724383,-16.1535447517385,20.7586506555269,-4.97002026393725
41.069,-4.4987213020769,-4.03772962294481,-16.0965386957354,20.7630342593914,-5.00848209275509
41.07,-4.53390192780016,-4.01521718506503,-16.0386087659006,20.7689856434155,-5.04931118751856
41.071,-4.56884537941094,-3.99297374691875,-15.9797790541248,20.7764549975327,-5.09245055666558
41.072,-4.60353470603474,-3.97105423758939,-15.9200983047403,20.7853983963534,-5.13781920460985
41.073,-4.63794925834654,-3.94950501700795,-15.8596397719442,20.7957788349403,-5.18531259975638
41.074,-4.67206608020782,-3.92836322028926,-15.7985006767802,20.8075669204904,-5.2348036623862
41.075,-4.70586141159871,-3.90765650438785,-15.7368011954953,20.8207411892689,-5.2861442910033
41.076,-4.73931217060531,-3.88740320287265,-15.674682919627,20.8352880306485,-5.33916740173068
41.077,-4.77239728951709,-3.86761284975798,-15.6123067433519,20.851201205393,-5.39368941651889
41.078,-4.80509879748105,-3.84828699261327,-15.5498501610001,20.8684809486851,-5.44951311317576
41.079,-4.83740256871713,-3.82942018382806,-15.4875040003283,20.8871326539761,-5.5064307468987
41.08,-4.86929869150935,-3.81100102125469,-15.425468672952,20.9071651480526,-5.56422736094397
41.081,-4.90078145766946,-3.79301310968925,-15.3639500815115,20.92858859716,-5.6226842114457
41.082,-4.9318490196001,-3.77543583538406,-15.3031553687163,20.9514121249467,-5.68158223337532
41.083,-4.96250280329597,-3.75824488393924,-15.2432887130751,20.9756412605549,-5.74070547220588
41.084,-4.9927467914279,-3.74141247703427,-15.184547363691,21.0012753553584,-5.79984440100813
41.085,-5.02258679724012,-3.72490734348998,-15.127118067907,21.0283051051991,-5.85879904010882
41.086,-5.05202983946697,-3.70869446926394,-15.0711739944135,21.056710294416,-5.91738180242776
41.087,-5.08108370451368,-3.69273469015486,-15.0168722007842,21.0864578441291,-5.97542000354681
41.088,-5.1097567477854,-3.67698420321159,-14.9643516443216,21.1175002072835,-6.03275799685532
41.089,-5.13805794540443,-3.66139407900622,-14.9137316970617,21.1497741152229,-6.08925891544966
41.09,-5.16599716638972,-3.6459098560602,-14.8651111074607,21.1831996528123,-6.14480601971028
41.091,-5.19358559969793,-3.6304712926852,-14.8185673501998,21.2176796255997,-6.19930365896429
41.092,-5.22083624600115,-3.61501234449131,-14.7741563102395,21.2530991820036,-6.25267785487498
41.093,-5.24776437554702,-3.59946142510256,-14.7319122469243,21.2893256618145,-6.30487650260099
41.094,-5.27438786279363,-3.58374198404836,-14.6918479752782,21.3262086549986,-6.35586916820798
41.095,-5.30072733249838,-3.56777339889448,-14.6539551907022,21.3635802664314,-6.40564645044535
41.096,-5.32680608338781,-3.5514721411965,-14.6182048628397,21.4012555884367,-6.45421888258844
41.097,-5.35264978723848,-3.5347531501197,-14.5845476445497,21.4390333871306,-6.50161537186064
41.098,-5.37828598684736,-3.51753133670787,-14.552914280603,21.4766970180565,-6.54788119939575
41.099,-5.40374343063941,-3.49972314436023,-14.5232160438519,21.5140156030164,-6.5930756270157
41.1,-5.42905128571555,-3.48124810556723,-14.4953452594852,21.5507455180649,-6.63726917691854
41.101,-5.45423827396474,-3.46203035836622,-14.4691759945989,21.5866322539749,-6.68054066950249
41.102,-5.47933178332575,-3.44200011087435,-14.4445649913811,21.6214127051794,-6.72297412747876
41.103,-5.50435701440706,-3.42109505778633,-14.4213529074799,21.6548179169131,-6.76465567522983
41.104,-5.52933622464163,-3.39926175289631,-14.39936589449,21.686576281284,-6.80567056536973
41.105,-5.55428812415774,-3.37645693111223,-14.3784174987715,21.716417134096,-6.84610044342855
41.106,-5.57922745827252,-3.35264876033708,-14.3583108229556,21.7440746708849,-6.88602092711132
41.107,-5.60416478397148,-3.32781799208256,-14.3388408584407,21.7692920723449,-6.92549954251995
41.108,-5.62910641979477,-3.30195897125495,-14.3197968936758,21.7918257065069,-6.96459403227004
41.109,-5.65405452743648,-3.27508046043979,-14.3009649143326,21.8114492605892,-7.00335102949266
41.11,-5.67900727334101,-3.24720623131335,-14.2821299334927,21.8279576540668,-7.04180507487264
41.111,-5.70395902276191,-3.21837537874199,-14.2630782140531,21.8411705986052,-7.07997794007866
41.112,-5.72890053624921,-3.18864232779488,-14.2435993580171,21.8509356955088,-7.11787821303281
41.113,-5.75381916241633,-3.15807652740419,-14.2234882334478,21.8571309897815,-7.15550110186245
41.114,-5.77869904329826,-3.12676184446255,-14.2025467020472,21.8596669279783,-7.19282842401478
41.115,-5.80352136385484,-3.09479568202927,-14.1805851139505,21.8584876934596,-7.22982875957146
41.116,-5.82826468043219,-3.06228784958036,-14.1574235544334,21.8535719173164,-7.26645775742211
41.117,-5.85290535456624,-3.02935921873861,-14.1328928527546,21.8449327882714,-7.30265858757676
41.118,-5.87741810568657,-2.99614020665743,-14.106835387386,21.8326176112626,-7.33836253655784
41.119,-5.90177668587127,-2.96276913883701,-14.0791057367704,21.8167068884122,-7.37348975226313
41.12,-5.92595467314869,-2.92939055094274,-14.0495712263593,21.7973130121053,-7.4079501621424
41.121,-5.9499263753112,-2.89615349465482,-14.0181124143942,21.7745786651406,-7.44164460729966
41.122,-5.97366783080514,-2.86320991369702,-13.9846235501112,21.7486750175388,-7.47446624398222
41.123,-5.99715788265194,-2.83071314701258,-13.9490130346277,21.7197997941751,-7.50630225768674
41.124,-6.02037928234677,-2.79881659431635,-13.9112039129792,21.6881752635205,-7.53703591941955
41.125,-6.0433197549091,-2.76767255262683,-13.8711344180484,21.6540461699673,-7.56654899667466
41.126,-6.06597293081434,-2.73743121023438,-13.828758570124,21.6176776045159,-7.59472451287645
41.127,-6.08833903434747,-2.70823976684552,-13.7840468117466,21.5793527819055,-7.6214498191379
41.128,-6.11042521930869,-2.6802416288584,-13.73698663169,21.5393706708068,-7.6466198964844
41.129,-6.13224546975647,-2.65357560590516,-13.6875831111512,21.49804341599,-7.67014075610736
41.13,-6.15382003780315,-2.62837501788325,-13.635859315821,21.4556934994272,-7.69193276907633
41.131,-6.17517446069086,-2.60476662307371,-13.5818564627885,21.4126506049143,-7.71193374497845
41.132,-6.19633826151645,-2.58286930425654,-13.5256338095689,21.3692481748719,-7.73010158782849
41.133,-6.21734346979536,-2.56279249559716,-13.4672682378166,21.3258196786092,-7.74641638256626
41.134,-6.23822309335367,-2.54463438328805,-13.406853528489,21.2826946414563,-7.76088180352841
41.135,-6.25900964372968,-2.52847995474527,-13.344499341495,21.2401945023263,-7.77352578058148
41.136,-6.27973378165389,-2.51439900218271,-13.2803299173981,21.198628370803,-7.78440040081084
41.137,-6.30042311958768,-2.50244420648984,-13.2144825133976,21.1582887525323,-7.79358105974821
41.138,-6.32110119967308,-2.49264943039837,-13.1471055789164,21.1194473128551,-7.80116490762784
41.139,-6.34178665853771,-2.48502833204001,-13.0783566771826,21.0823507534974,-7.80726866957825
41.14,-6.36249259142567,-2.4795733792514,-13.0084001730495,21.047216879463,-7.8120259565564
41.141,-6.38322613038129,-2.47625531443124,-12.9374047340375,21.0142309312292,-7.81558421320891
41.142,-6.40398825064345,-2.47502309569954,-12.8655407243302,20.9835422570839,-7.81810145097985
41.143,-6.42477381530517,-2.47580432137299,-12.7929775947854,20.9552614077619,-7.81974288739689
41.144,-6.4455718589812,-2.47850612749224,-12.71988137322,20.9294577473467,-7.82067756988692
41.145,-6.46636609425621,-2.48301652924341,-12.6464123410592,20.9061576785848,-7.82107502079591
41.146,-6.48713560161026,-2.48920615684935,-12.5727229588015,20.8853435649402,-7.82110191399931
41.147,-6.50785564131122,-2.49693031762653,-12.4989560849809,20.8669533963357,-7.82091879359318
41.148,-6.52849851299262,-2.50603130088613,-12.425243524161,20.8508812062934,-7.82067686821759
41.149,-6.54903439052351,-2.51634083366856,-12.351704935991,20.8369782218039,-7.82051494320456
41.15,-6.56943207676644,-2.52768259531686,-12.278447135224,20.8250547181792,-7.82055657211961
41.151,-6.58965965133287,-2.53987470702672,-12.2055638073127,20.8148825534978,-7.82090751540478
41.152,-6.60968501524231,-2.55273212593618,-12.133135650776,20.8061983623717,-7.82165358832397
41.153,-6.62947635642239,-2.56606889088571,-12.0612309344823,20.7987073890837,-7.82285896696936
41.154,-6.64900256273005,-2.57970018870987,-11.9899064301763,20.7920879315005,-7.82456500593984
41.155,-6.66823359898251,-2.59344423361935,-11.9192086529834,20.7859963504708,-7.82678960991458
41.156,-6.68714084760289,-2.60712397354224,-11.8491753159163,20.7800725789715,-7.8295271941537
41.157,-6.70569739208222,-2.62056865175328,-11.7798368824482,20.7739460455601,-7.83274926289944
41.158,-6.72387820385,-2.63361525648909,-11.7112180941105,20.7672419102356,-7.83640562703666
41.159,-6.74166018458165,-2.64610988578518,-11.6433393627932,20.7595874985099,-7.84042626937025
41.16,-6.75902202177386,-2.65790904458094,-11.5762179432454,20.7506188127786,-7.84472384087798
41.161,-6.7759438321906,-2.66888088116587,-11.5098688301421,20.7399870007203,-7.84919673164083
41.162,-6.79240658879364,-2.67890635830148,-11.4443053509963,20.727364667628,-7.85373261370155
41.163,-6.80839134860846,-2.68788033538766,-11.3795394511925,20.7124519277747,-7.85821231328529
41.164,-6.82387832199776,-2.69571251382797,-11.3155816922672,20.6949820920121,-7.86251384562105
41.165,-6.83884584703896,-2.70232817876963,-11.2524410107679,20.6747268842179,-7.86651643874111
41.166,-6.85326935106732,-2.70766866541086,-11.1901243122985,20.6515010773645,-7.87010438171808
41.167,-6.8671203886306,-2.71169148831725,-11.1286359990594,20.6251664504582,-7.87317055511673
41.168,-6.88036583984939,-2.71437009501291,-11.0679775409511,20.5956349895375,-7.875619530612
41.169,-6.89296734193645,-2.71569323867687,-11.0081471944668,20.5628712809546,-7.87737015660041
