header,section,HeelStrike,hip_sagittal
0,0,0,26.30436897
0.005,0,0.46728972,26.73104858
0.01,0,0.934579439,27.1577282
0.015,0,1.401869159,26.76516342
0.02,0,1.869158879,26.37259865
0.025,0,2.336448598,25.51420975
0.03,0,2.803738318,24.65582085
0.035,0,3.271028037,23.88740349
0.04,0,3.738317757,23.11898613
0.045,0,4.205607477,22.69703484
0.05,0,4.672897196,22.27508354
0.055,0,5.140186916,22.08799362
0.06,0,5.607476636,21.9009037
0.065,0,6.074766355,21.67783546
0.07,0,6.542056075,21.45476723
0.075,0,7.009345794,21.2011261
0.08,0,7.476635514,20.94748497
0.085,0,7.943925234,20.65063095
0.09,0,8.411214953,20.35377693
0.095,0,8.878504673,19.99005699
0.1,0,9.345794393,19.62633705
0.105,0,9.813084112,19.12773895
0.11,0,10.28037383,18.62914085
0.115,0,10.74766355,18.00758553
0.12,0,11.21495327,17.3860302
0.125,0,11.68224299,16.77092552
0.13,0,12.14953271,16.15582085
0.135,0,12.61682243,15.48620987
0.14,0,13.08411215,14.81659889
0.145,0,13.55140187,14.09913254
0.15,0,14.01869159,13.38166618
0.155,0,14.48598131,12.79025841
0.16,0,14.95327103,12.19885063
0.165,0,15.42056075,11.67763329
0.17,0,15.88785047,11.15641594
0.175,0,16.35514019,10.65694523
0.18,0,16.82242991,10.15747452
0.185,0,17.28971963,9.720724106
0.19,0,17.75700935,9.283973694
0.195,0,18.22429907,8.832416534
0.2,0,18.69158879,8.380859375
0.205,0,19.1588785,7.912049294
0.21,0,19.62616822,7.443239212
0.215,0,20.09345794,7.004617691
0.22,0,20.56074766,6.56599617
0.225,0,21.02803738,6.166750908
0.23,0,21.4953271,5.767505646
0.235,0,21.96261682,5.403137207
0.24,0,22.42990654,5.038768768
0.245,0,22.89719626,4.644609451
0.25,0,23.36448598,4.250450134
0.255,0,23.8317757,4.014131546
0.26,0,24.29906542,3.777812958
0.265,0,24.76635514,3.570232391
0.27,0,25.23364486,3.362651825
0.275,0,25.70093458,2.981584549
0.28,0,26.1682243,2.600517273
0.285,0,26.63551402,2.128865242
0.29,0,27.10280374,1.657213211
0.295,0,27.57009346,1.226882935
0.3,0,28.03738318,0.796552658
0.305,0,28.5046729,0.422458649
0.31,0,28.97196262,0.048364639
0.315,0,29.43925234,-0.254857063
0.32,0,29.90654206,-0.558078766
0.325,0,30.37383178,-0.890872002
0.33,0,30.8411215,-1.223665237
0.335,0,31.30841121,-1.636683464
0.34,0,31.77570093,-2.049701691
0.345,0,32.24299065,-2.470251083
0.35,0,32.71028037,-2.890800476
0.355,0,33.17757009,-3.31069088
0.36,0,33.64485981,-3.730581284
0.365,0,34.11214953,-4.149446487
0.37,0,34.57943925,-4.568311691
0.375,0,35.04672897,-4.996201992
0.38,0,35.51401869,-5.424092293
0.385,0,35.98130841,-5.936784267
0.39,0,36.44859813,-6.449476242
0.395,0,36.91588785,-6.984153271
0.4,0,37.38317757,-7.518830299
0.405,0,37.85046729,-7.988760471
0.41,0,38.31775701,-8.458690643
0.415,0,38.78504673,-8.931498528
0.42,0,39.25233645,-9.404306412
0.425,0,39.71962617,-9.912259579
0.43,0,40.18691589,-10.42021275
0.435,0,40.65420561,-10.90649319
0.44,0,41.12149533,-11.39277363
0.445,0,41.58878505,-11.83525372
0.45,0,42.05607477,-12.2777338
0.455,0,42.52336449,-12.67115927
0.46,0,42.99065421,-13.06458473
0.465,0,43.45794393,-13.41621113
0.47,0,43.92523364,-13.76783752
0.475,0,44.39252336,-14.06390858
0.48,0,44.85981308,-14.35997963
0.485,0,45.3271028,-14.62698936
0.49,0,45.79439252,-14.8939991
0.495,0,46.26168224,-15.18591976
0.5,0,46.72897196,-15.47784042
0.505,0,47.19626168,-15.69892311
0.51,0,47.6635514,-15.9200058
0.515,0,48.13084112,-16.00951862
0.52,0,48.59813084,-16.09903145
0.525,0,49.06542056,-16.16080093
0.53,0,49.53271028,-16.22257042
0.535,0,50,-16.34185696
0.54,0,50.46728972,-16.46114349
0.545,0,50.93457944,-16.37943363
0.55,0,51.40186916,-16.29772377
0.555,0,51.86915888,-16.1826582
0.56,0,52.3364486,-16.06759262
0.565,0,52.80373832,-15.79446602
0.57,0,53.27102804,-15.52133942
0.575,0,53.73831776,-15.12547207
0.58,0,54.20560748,-14.72960472
0.585,0,54.6728972,-14.31724739
0.59,0,55.14018692,-13.90489006
0.595,0,55.60747664,-13.41404438
0.6,0,56.07476636,-12.9231987
0.605,0,56.54205607,-12.30840588
0.61,0,57.00934579,-11.69361305
0.615,0,57.47663551,-11.03608608
0.62,0,57.94392523,-10.37855911
0.625,0,58.41121495,-9.74727869
0.63,0,58.87850467,-9.115998268
0.635,0,59.34579439,-8.435096741
0.64,0,59.81308411,-7.754195213
0.645,0,60.28037383,-6.912029743
0.65,0,60.74766355,-6.069864273
0.655,0,61.21495327,-5.166901588
0.66,0,61.68224299,-4.263938904
0.665,0,62.14953271,-3.456284523
0.67,0,62.61682243,-2.648630142
0.675,0,63.08411215,-1.834192276
0.68,0,63.55140187,-1.01975441
0.685,0,64.01869159,-0.124272346
0.69,0,64.48598131,0.771209717
0.695,0,64.95327103,1.667687416
0.7,0,65.42056075,2.564165115
0.705,0,65.88785047,3.431195259
0.71,0,66.35514019,4.298225403
0.715,0,66.82242991,5.160645485
0.72,0,67.28971963,6.023065567
0.725,0,67.75700935,6.83276844
0.73,0,68.22429907,7.642471313
0.735,0,68.69158879,8.439817429
0.74,0,69.1588785,9.237163544
0.745,0,69.62616822,10.1709795
0.75,0,70.09345794,11.10479546
0.755,0,70.56074766,11.95876312
0.76,0,71.02803738,12.81273079
0.765,0,71.4953271,13.45097923
0.77,0,71.96261682,14.08922768
0.775,0,72.42990654,14.65060616
0.78,0,72.89719626,15.21198463
0.785,0,73.36448598,15.72374916
0.79,0,73.8317757,16.23551369
0.795,0,74.29906542,16.76339912
0.8,0,74.76635514,17.29128456
0.805,0,75.23364486,17.67925644
0.81,0,75.70093458,18.06722832
0.815,0,76.1682243,18.53633308
0.82,0,76.63551402,19.00543785
0.825,0,77.10280374,19.44693947
0.83,0,77.57009346,19.88844109
0.835,0,78.03738318,20.08922958
0.84,0,78.5046729,20.29001808
0.845,0,78.97196262,20.56954956
0.85,0,79.43925234,20.84908104
0.855,0,79.90654206,21.1454792
0.86,0,80.37383178,21.44187737
0.865,0,80.8411215,21.63965416
0.87,0,81.30841121,21.83743095
0.875,0,81.77570093,22.07715988
0.88,0,82.24299065,22.31688881
0.885,0,82.71028037,22.53113556
0.89,0,83.17757009,22.74538231
0.895,0,83.64485981,22.929533
0.9,0,84.11214953,23.1136837
0.905,0,84.57943925,23.26053047
0.91,0,85.04672897,23.40737724
0.915,0,85.51401869,23.48900604
0.92,0,85.98130841,23.57063484
0.925,0,86.44859813,23.621912
0.93,0,86.91588785,23.67318916
0.935,0,87.38317757,23.76932716
0.94,0,87.85046729,23.86546516
0.945,0,88.31775701,24.01593971
0.95,0,88.78504673,24.16641426
0.955,0,89.25233645,24.3565712
0.96,0,89.71962617,24.54672813
0.965,0,90.18691589,24.79084587
0.97,0,90.65420561,25.03496361
0.975,0,91.12149533,25.24874496
0.98,0,91.58878505,25.46252632
0.985,0,92.05607477,25.58923721
0.99,0,92.52336449,25.7159481
0.995,0,92.99065421,25.77414513
1,0,93.45794393,25.83234215
1.005,0,93.92523364,25.81129074
1.01,0,94.39252336,25.79023933
1.015,0,94.85981308,25.7138443
1.02,0,95.3271028,25.63744926
1.025,0,95.79439252,25.49328423
1.03,0,96.26168224,25.34911919
1.035,0,96.72897196,25.1900692
1.04,0,97.19626168,25.03101921
1.045,0,97.6635514,24.94744301
1.05,0,98.13084112,24.86386681
1.055,0,98.59813084,24.84605789
1.06,0,99.06542056,24.82824898
1.065,0,99.53271028,24.87870407
1.07,0,100,24.92915916
1.075,1,0,25.0640049
1.08,1,0.446428571,25.19885063
1.085,1,0.892857143,25.43349648
1.09,1,1.339285714,25.66814232
1.095,1,1.785714286,25.99539566
1.1,1,2.232142857,26.322649
1.105,1,2.678571429,25.94528198
1.11,1,3.125,25.56791496
1.115,1,3.571428571,24.99172783
1.12,1,4.017857143,24.4155407
1.125,1,4.464285714,23.48890495
1.13,1,4.910714286,22.56226921
1.135,1,5.357142857,21.89329147
1.14,1,5.803571429,21.22431374
1.145,1,6.25,21.0851078
1.15,1,6.696428571,20.94590187
1.155,1,7.142857143,20.89421463
1.16,1,7.589285714,20.84252739
1.165,1,8.035714286,20.73185921
1.17,1,8.482142857,20.62119102
1.175,1,8.928571429,20.36436653
1.18,1,9.375,20.10754204
1.185,1,9.821428571,19.76596832
1.19,1,10.26785714,19.42439461
1.195,1,10.71428571,19.09184647
1.2,1,11.16071429,18.75929832
1.205,1,11.60714286,18.39085007
1.21,1,12.05357143,18.02240181
1.215,1,12.5,17.54027939
1.22,1,12.94642857,17.05815697
1.225,1,13.39285714,16.46152687
1.23,1,13.83928571,15.86489677
1.235,1,14.28571429,15.23304939
1.24,1,14.73214286,14.60120201
1.245,1,15.17857143,14.06598854
1.25,1,15.625,13.53077507
1.255,1,16.07142857,13.0682888
1.26,1,16.51785714,12.60580254
1.265,1,16.96428571,12.11052322
1.27,1,17.41071429,11.61524391
1.275,1,17.85714286,11.09688187
1.28,1,18.30357143,10.57851982
1.285,1,18.75,10.13698387
1.29,1,19.19642857,9.695447922
1.295,1,19.64285714,9.27071476
1.3,1,20.08928571,8.845981598
1.305,1,20.53571429,8.358233452
1.31,1,20.98214286,7.870485306
1.315,1,21.42857143,7.450937271
1.32,1,21.875,7.031389236
1.325,1,22.32142857,6.67124176
1.33,1,22.76785714,6.311094284
1.335,1,23.21428571,5.968297005
1.34,1,23.66071429,5.625499725
1.345,1,24.10714286,5.338264465
1.35,1,24.55357143,5.051029205
1.355,1,25,4.877297401
1.36,1,25.44642857,4.703565598
1.365,1,25.89285714,4.451963425
1.37,1,26.33928571,4.200361252
1.375,1,26.78571429,3.635478973
1.38,1,27.23214286,3.070596695
1.385,1,27.67857143,2.523889542
1.39,1,28.125,1.977182388
1.395,1,28.57142857,1.633810997
1.4,1,29.01785714,1.290439606
1.405,1,29.46428571,1.048171043
1.41,1,29.91071429,0.805902481
1.415,1,30.35714286,0.550351143
1.42,1,30.80357143,0.294799805
