Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
0,-3.05793051002706,-3.49412356379974,0.582249718282366,7.50649712225493,-5.04365545820166
0.001,-3.11394898390055,-3.41001545819437,0.435686994525509,7.65529137934155,-4.99845057508074
0.002,-3.1708122365309,-3.32712927693863,0.289954202225379,7.80371134362161,-4.95450120186032
0.003,-3.22846530874614,-3.24607901072583,0.145874945173756,7.95098996837024,-4.91225470504647
0.004,-3.2868268426462,-3.16745586464954,0.00425682055250656,8.0963754307788,-4.87213643426079
0.005,-3.34578219150072,-3.09181673422999,-0.134119587737805,8.23914095781712,-4.83453995177222
0.006,-3.40517970099536,-3.01967390925058,-0.268511541563286,8.37859444721575,-4.79981929616506
0.007,-3.46482962199171,-2.95148616813751,-0.398224320396894,8.5140874245602,-4.76828308481304
0.008,-3.52450518135109,-2.88765136714605,-0.522620362693707,8.64502299908543,-4.74019024420921
0.009,-3.58394540238734,-2.82850058909888,-0.641127119127184,8.77086258775756,-4.71574716742921
0.01,-3.64285931861959,-2.7742938978683,-0.753243462111754,8.89113127293694,-4.69510612342693
0.011,-3.7009312646136,-2.72521773084295,-0.858544582952422,9.0054217453731,-4.67836476916239
0.012,-3.75782696461551,-2.68138393848568,-0.956685371947551,9.11339685381743,-4.66556664272786
0.013,-3.81320017864926,-2.64283044847301,-1.04740231475562,9.21479082700483,-4.65670254956636
0.014,-3.86669969918193,-2.60952349668115,-1.13051395502543,9.30940925332852,-4.65171278797719
0.015,-3.91797650502903,-2.58136132618981,-1.20591997707926,9.39712790485388,-4.65049017625923
0.016,-3.96669087294701,-2.55817920469008,-1.27359896419555,9.47789048756278,-4.65288383200906
0.017,-4.01251924347886,-2.53975555485742,-1.33360490011289,9.55170540461577,-4.65870362207976
0.018,-4.05516065783338,-2.52581894453377,-1.38606251042871,9.61864164033194,-4.66772516424759
0.019,-4.09434262583824,-2.51605565884019,-1.43116158293219,9.67882389890215,-4.67969522899939
0.02,-4.12982633415546,-2.51011758236958,-1.46915045306974,9.73242715065584,-4.69433736803083
0.021,-4.16141114497645,-2.50763014968933,-1.50032888479138,9.77967075093832,-4.71135758968536
0.022,-4.18893836454388,-2.50820016055318,-1.52504060771413,9.82081230960989,-4.73044991354603
0.023,-4.21229428096057,-2.51142329360853,-1.54366577418507,9.85614149848255,-4.75130166574001
0.024,-4.23141248534107,-2.51689119160439,-1.55661356457736,9.8859739739016,-4.77359841686087
0.025,-4.24627549699048,-2.52419803273096,-1.56431510373197,9.91064555524964,-4.79702850436726
0.026,-4.25691570311805,-2.53294653915468,-1.56721678020057,9.93050675222202,-4.82128710807824
0.027,-4.26341559398042,-2.54275339928823,-1.56577400636562,9.94591769640746,-4.8460798550735
0.028,-4.26590724083058,-2.55325409534142,-1.56044542888939,9.95724351211897,-4.87112592655976
0.029,-4.26457095021467,-2.56410713224075,-1.55168758892946,9.96485014745461,-4.89616063839994
0.03,-4.25963304254288,-2.57499765811417,-1.53995003286845,9.96910067210024,-4.92093747484264
0.031,-4.25136273443986,-2.58564045761509,-1.52567088424364,9.97035203820728,-4.94522956642998
0.032,-4.24006813990057,-2.59578229868108,-1.50927290367586,9.96895230143282,-4.96883061526464
0.033,-4.22609143885846,-2.60520362631764,-1.49116007799206,9.96523830594988,-4.99155529017878
0.034,-4.2098032885009,-2.61371962208224,-1.4717147795776,9.95953383205311,-5.01323914647697
0.035,-4.19159656764949,-2.62118067765705,-1.4512955139985,9.95214817416922,-5.03373816357976
0.036,-4.17187955083951,-2.62747235065323,-1.43023523547829,9.94337507150359,-5.05292802328645
0.037,-4.15106861726997,-2.63251486811341,-1.40884017620813,9.93349188315121,-5.07070325749636
0.038,-4.12958061893578,-2.6362622234673,-1.38738912190302,9.92275890344734,-5.08697637493753
0.039,-4.10782505962654,-2.63870089577018,-1.36613307031124,9.91141874441676,-5.10167704294401
0.04,-4.0861962618219,-2.63984821529955,-1.34529522105619,9.89969575165828,-5.11475136721203
0.041,-4.06506571523964,-2.63975039498782,-1.32507126050524,9.88779545657175,-5.12616128572699
0.042,-4.0447748114241,-2.63848023090599,-1.30562992507391,9.87590409844272,-5.1358840707342
0.043,-4.02562817800159,-2.63613445726073,-1.28711384320908,9.86418827095732,-5.14391191644302
0.044,-4.00788783271101,-2.63283074428122,-1.26964065695771,9.85279475287007,-5.15025158779339
0.045,-3.9917683727014,-2.62870435888778,-1.25330440392983,9.84185056856465,-5.15492411749175
0.046,-3.977433388462,-2.62390455332906,-1.23817710833032,9.83146329659819,-5.15796455150704
0.047,-3.96499323953623,-2.61859078511723,-1.22431049972285,9.82172161635741,-5.15942174544345
0.048,-3.95450425808102,-2.61292889400104,-1.21173776247065,9.81269606787208,-5.15935820808518
0.049,-3.94596937193308,-2.60708737006154,-1.20047522135979,9.80443999914002,-5.15784998126629
0.05,-3.93934007394324,-2.60123384061634,-1.19052388275353,9.79699067597135,-5.15498653660338
0.051,-3.93451961320637,-2.5955318786241,-1.18187076888733,9.79037052035898,-5.15087065619074
0.052,-3.93136724725917,-2.5901381935034,-1.17449001197885,9.78458843412275,-5.14561824911766
0.053,-3.92970337467838,-2.58520021783702,-1.16834372359504,9.77964117378492,-5.13935804633156
