Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z
0,4.26766917928455,-2.13887583478891,-2.32045254523246,-0.00258643922823415,0.0110440023553519,-0.00658930273857432,0.804315417373232,-0.646564971120171,4.433171932254,0.00863326533183804,-0.00674816579750503,-0.00751540355770806,-2.62262635812681,-1.08313994339662,0.34520132044446,0.00858348470974136,-0.00926131339362749,-0.0102048310114316,-2.61800110739557,0.241699703068946,-4.90079363033722,-0.00598445654656732,-0.0433390262492963,0.0388374074826674
0.005,4.26290969526406,-2.1364347211026,-2.3172690858521,-0.00252696695988872,0.0111051390789636,-0.00651324703683932,0.802505262371255,-0.645816878960929,4.42863592614459,0.00864422324164848,-0.0067664146489245,-0.00747202300294319,-2.62089965730797,-1.08223230418025,0.344518822695022,0.00859889615141237,-0.00922333161201093,-0.010212467981076,-2.61637239884419,0.24143307253339,-4.89572859434244,-0.00591984360845643,-0.0434863426576603,0.0388991712598759
0.01,4.25815021124356,-2.13399360741636,-2.31408562647186,-0.0023540376602025,0.0111092735353324,-0.00624588583538686,0.800695107369393,-0.645068786801687,4.42409992003518,0.0085773844397963,-0.0067377867727778,-0.00728916101393432,-2.61917295648925,-1.08132466496389,0.343836324945698,0.00854239587898324,-0.009035420434016,-0.0101251926038456,-2.61474369029258,0.24116644199783,-4.89066355834768,-0.00571407596259938,-0.0433654980830846,0.0385699671063683
0.015,4.25339072722306,-2.13155249373011,-2.31090216709151,-0.00208028507976114,0.010884542751357,-0.00577821351520523,0.798884952367416,-0.64432069464246,4.41956391392578,0.00833972695908288,-0.00658325653993335,-0.00691709466550496,-2.61744625567042,-1.08041702574755,0.343153827196261,0.00831900292391523,-0.00862674891135531,-0.00982494842708508,-2.61311498174121,0.24089981146227,-4.88559852235292,-0.00534366898698327,-0.0424015889415395,0.0373635058316749
0.02,4.24863124320257,-2.12911138004387,-2.30771870771116,-0.001720884383562,0.0104535125935944,-0.00517568656351835,0.79707479736544,-0.643572602483232,4.41502790781637,0.00795622082350012,-0.00631815156249783,-0.00636997356973604,-2.61571955485169,-1.07950938653116,0.34247132944688,0.00795368127279956,-0.00801579501868743,-0.00931547983492744,-2.61148627318971,0.240633180926714,-4.88053348635816,-0.00482775743047961,-0.040619453595086,0.0353743793910489
0.025,4.24387175918207,-2.12667026635756,-2.30453524833081,-0.00128752552221822,0.00984839530939833,-0.00449597694510172,0.795264642363463,-0.642824510324004,4.41049190170695,0.00746789000027581,-0.00596897343729275,-0.00567349520097466,-2.61399285403274,-1.07860174731482,0.3417888316975,0.00748743179357386,-0.00723556247167516,-0.00863452670629805,-2.60985756463822,0.240366550391155,-4.87546845036339,-0.00419590143460311,-0.0381429946428966,0.0327492542925863
0.03,4.23911227516157,-2.12422915267132,-2.30135178895046,-0.000784783010405617,0.00909998443892716,-0.0037708990385201,0.793454487361601,-0.642076418164763,4.40595589559755,0.00691774567393655,-0.00556282350359513,-0.00485621614714078,-2.61226615321402,-1.07769410809846,0.341106333948119,0.00696311620625841,-0.00632204291708859,-0.00783524139112319,-2.60822885608673,0.240099919855595,-4.87040341436862,-0.00347570224609639,-0.0351412581608973,0.0296219493637388
0.035,4.23435279114108,-2.12178803898507,-2.2981683295701,-0.000215671059869426,0.00823536911195343,-0.00301589291154824,0.791644332359624,-0.641328326005521,4.40141988948815,0.00634164869625897,-0.00512327062212526,-0.00394519689340178,-2.61053945239519,-1.07678646888212,0.340423836198738,0.00641634781947121,-0.00530861751086284,-0.00696480668161721,-2.60660014753523,0.239833289320035,-4.86533837837386,-0.00268966708331565,-0.0317721459607236,0.0260993195218505
0.04,4.22959330712058,-2.11934692529877,-2.29498487018975,0.000412142677267889,0.00728633436372246,-0.00224585217873031,0.789834177357648,-0.640580233846293,4.39688388337874,0.00576972826836323,-0.00467301590599689,-0.00296853707302544,-2.60881275157647,-1.07587882966573,0.339741338449357,0.00587692386915591,-0.00422920895650019,-0.00606037937225241,-2.60497143898374,0.239566658784479,-4.8602733423791,-0.00185988506288634,-0.0281771034762549,0.0222953348297876
0.045,4.22483382310008,-2.11690581161253,-2.29180141080951,0.00108518700587184,0.00629044340024355,-0.00147923368561621,0.788024022355671,-0.639832141687066,4.39234787726932,0.00522680678499218,-0.00423313652789237,-0.00195581044333243,-2.60708605075763,-1.07497119044936,0.33905884069992,0.00536916819623197,-0.00311855050659574,-0.00515029039163897,-2.60334273043236,0.23930002824892,-4.85520830638434,-0.00101010835380575,-0.024479600072508,0.0183384979332853
