Header,ankle_sagittal,ankle_frontal,knee_sagittal,hip_sagittal,hip_frontal
154.275,-3.89025344071667,-2.02009538273473,-51.7352064666722,-15.7352509364105,10.6055090917903
154.276,-3.76430889142849,-2.10162816313728,-51.8661763465362,-15.6019271370827,10.5735144943205
154.277,-3.63895275012312,-2.17794462791875,-51.9970917128673,-15.4681622114987,10.539793807984
154.278,-3.51422098740605,-2.24915509852169,-52.1279749282264,-15.3339321003518,10.5045537129973
154.279,-3.39015633103694,-2.31539391427675,-52.2588424766919,-15.1992282156397,10.468006645042
154.28,-3.26680891177707,-2.37681675511342,-52.3897030718115,-15.0640592685616,10.4303689363421
154.281,-3.14423645127622,-2.4335982001602,-52.5205556145424,-14.928452978991,10.3918592432135
154.282,-3.02250407247089,-2.48592953713442,-52.6513871359891,-14.7924575400155,10.3526972644235
154.283,-2.90168385444279,-2.53401680602156,-52.7821708676676,-14.6561427309292,10.3131026994058
154.284,-2.78185426516773,-2.57807903889687,-52.9128645728126,-14.5196006091189,10.2732943477723
154.285,-2.66309957238218,-2.61834664683757,-53.0434092540715,-14.3829457376312,10.2334892265799
154.286,-2.54550926581373,-2.65505990584928,-53.1737283374763,-14.2463149016253,10.1939015929129
154.287,-2.42917745959815,-2.68846750331674,-53.3037274235588,-14.1098662423034,10.1547418038032
154.288,-2.3142022150554,-2.71882511724283,-53.4332946836266,-13.9737777207784,10.1162149993414
154.289,-2.20068473477892,-2.74639400887335,-53.5623019469315,-13.8382448399167,10.0785196310434
154.29,-2.08872840661097,-2.77143961967838,-53.6906064660062,-13.7034775991116,10.0418458663848
154.291,-1.97843769730899,-2.79423018036339,-53.8180532706033,-13.5696967232541,10.0063738894431
154.292,-1.86991690445013,-2.81503535640893,-53.9444779431033,-13.437129288287,9.97227210184382
154.293,-1.76326877733671,-2.8341249591103,-54.0697095902006,-13.3060039561951,9.93969522449829
154.294,-1.65859301800471,-2.85176773812917,-54.1935737637977,-13.1765461065821,9.90878232256886
154.295,-1.55598467210975,-2.8682302477261,-54.3158951039845,-13.0489731767706,9.87965482475325
154.296,-1.45553241701706,-2.88377575636956,-54.4364995283007,-12.9234904883901,9.85241466488741
154.297,-1.3573167525022,-2.89866316015449,-54.5552158550279,-12.8002877644491,9.82714270730074
154.298,-1.26140809788269,-2.91314586961858,-54.6718768097174,-12.6795364507917,9.80389760173374
154.299,-1.167864797498,-2.92747066152827,-54.7863194162328,-12.5613878682003,9.78271514977812
154.3,-1.07673103830413,-2.94187651051336,-54.8983848115636,-12.4459721520785,9.76360818433221
154.301,-0.988034697658934,-2.9565934303032,-55.0079175484468,-12.3333978935787,9.74656690743702
154.302,-0.901785171055602,-2.97184135357595,-55.1147644696886,-12.2237523750712,9.73155961927975
154.303,-0.817971271283398,-2.98782905966843,-55.2187732589898,-12.1171022853539,9.71853378963595
154.304,-0.736559324677067,-3.00475312916217,-55.3197907941927,-12.0134947994322,9.70741744475015
154.305,-0.657491602213756,-3.02279688510662,-55.4176614503706,-11.9129589082752,9.69812084826365
154.306,-0.580685212493896,-3.04212929054036,-55.5122255232545,-11.8155068809943,9.69053844610004
154.307,-0.506031558830016,-3.06290380892689,-55.6033179587442,-11.7211357381316,9.68455103561449
154.308,-0.433396430550306,-3.08525727684345,-55.6907675628103,-11.6298286220691,9.68002811401828
