Subject,Age,Gender,Height,Weight,leg,thigh,calf
AB06,20,M,1.8,74.84,0.936,0.4212,0.5148
AB07,20,M,1.65,55.34,0.858,0.3861,0.4719
AB08,21,M,1.74,72.57,0.9048,0.40716,0.49764
AB09,21,F,1.63,63.5,0.8476,0.38142,0.46618
AB10,22,M,1.75,83.91,0.91,0.4095,0.5005
AB11,21,M,1.75,77.11,0.91,0.4095,0.5005
AB12,24,M,1.74,86.18,0.9048,0.40716,0.49764
AB13,19,M,1.73,58.97,0.8996,0.40482,0.49478
AB14,22,F,1.52,58.41,0.7904,0.35568,0.43472
AB15,21,M,1.78,96.16,0.9256,0.41652,0.50908
AB16,20,F,1.65,55.79,0.858,0.3861,0.4719
AB17,19,M,1.68,61.23,0.8736,0.39312,0.48048
AB18,19,F,1.8,60.13,0.936,0.4212,0.5148
AB19,19,M,1.7,68.04,0.884,0.3978,0.4862
AB20,21,F,1.71,68.04,0.8892,0.40014,0.48906
AB21,20,F,1.57,58.06,0.8164,0.36738,0.44902
AB23,20,M,1.8,76.82,0.936,0.4212,0.5148
AB24,21,F,1.73,72.57,0.8996,0.40482,0.49478
AB25,20,F,1.63,52.16,0.8476,0.38142,0.46618
AB27,21,M,1.7,68.04,0.884,0.3978,0.4862
AB28,33,F,1.69,62.14,0.8788,0.39546,0.48334
AB30,31,M,1.77,77.03,0.9204,0.41418,0.50622
